ORGANIZATION,PROGRAM,DESCRIPTION,YTD AMOUNT,QTD AMOUNT                                                                                                                                                                                                    
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,65471.47,44799.52
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,44813.96,30560
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,30189.59,29346.49
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2452,1561
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6176.78,4008.94
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11.9,5.95
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,792928.49,437945.86
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,792928.49,437945.86
2024 HON. BILL HUIZENGA,INTERN ALLOWANCES,PERSONNEL COMPENSATION,21036.14,13530.12
2024 HON. BILL HUIZENGA,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,21036.14,13530.12
2024 HON. BILL HUIZENGA,INTERN ALLOWANCES,OFFICE TOTALS:,21036.14,13530.12
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,229.91,245.11
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,533134.01,279169.68
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,71950.12,41438.97
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,27674.2,23784.57
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,28827.8,28457.63
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2384.6,1979.88
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11568.62,7822.95
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10167.63,7241
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,685936.89,390139.79
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,685936.89,390139.79
2024 HON. WESLEY HUNT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9234.9,4656.67
2024 HON. WESLEY HUNT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,9234.9,4656.67
2024 HON. WESLEY HUNT,INTERN ALLOWANCES,OFFICE TOTALS:,9234.9,4656.67
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1145.49,551.51
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,625930.47,316708.32
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,50511.45,30177.43
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23977.12,19858.6
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2828.5,432
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,15532.84,7798.6
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15875.16,11707.48
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10286.13,9785.13
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,746087.16,397019.07
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,746087.16,397019.07
2024 HON. DARRELL ISSA,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5305.56,0
2024 HON. DARRELL ISSA,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5305.56,0
2024 HON. DARRELL ISSA,INTERN ALLOWANCES,OFFICE TOTALS:,5305.56,0
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,291.39,290.6
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,643069.41,326936.1
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10802.27,5502.16
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16616.48,9960.03
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,97570.89,93868.59
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,885.61,775.67
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7169.51,3732.57
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,968.33,444
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,777373.89,441509.72
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,777373.89,441509.72
2024 HON. GLENN IVEY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,29932.24,14561.39
2024 HON. GLENN IVEY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,29932.24,14561.39
2024 HON. GLENN IVEY,INTERN ALLOWANCES,OFFICE TOTALS:,29932.24,14561.39
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,176.08,174.45
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,454029.95,241293.17
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,36128.94,26604.52
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,89917.28,48788.54
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,9463.95,7378.82
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,71448.26,34623.19
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,45080.93,28323.43
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11907.42,10013.64
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,718152.81,397199.76
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,718152.81,397199.76
2024 HON. SHEILA JACKSON LEE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12166.67,11866.67
2024 HON. SHEILA JACKSON LEE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,12166.67,11866.67
2024 HON. SHEILA JACKSON LEE,INTERN ALLOWANCES,OFFICE TOTALS:,12166.67,11866.67
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,49855.11,49746.75
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,597694.58,299704.58
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19060.94,10052.74
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,17985.7,14887.49
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,404.96,214.96
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1433.85,1140.08
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16288.15,551.2
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1002,501
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,703725.29,376798.8
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,703725.29,376798.8
2024 HON. JEFF JACKSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,22490,12740
2024 HON. JEFF JACKSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,22490,12740
2024 HON. JEFF JACKSON,INTERN ALLOWANCES,OFFICE TOTALS:,22490,12740
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-93.55,-75.45
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,558356.37,278751.15
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51713.48,28901.78
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24290.7,14395.17
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,825.66,567.66
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23432.27,12810.49
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,44603.82,33415.4
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13691.37,10473.4
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,716820.12,379239.6
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,716820.12,379239.6
2024 HON. JONATHAN L. JACKSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15093.33,15093.33
2024 HON. JONATHAN L. JACKSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,15093.33,15093.33
2024 HON. JONATHAN L. JACKSON,INTERN ALLOWANCES,OFFICE TOTALS:,15093.33,15093.33
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,257.46,382.78
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,617241.44,328874.82
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,79666.96,58154.3
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21078.83,12317.23
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1479.34,164.4
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1925,1155
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5375.37,4036.64
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4333,2542
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,731357.4,407627.17
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,731357.4,407627.17
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,17000.81,16654.23
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,705575.48,360984.45
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21461.64,12902.19
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,67531.42,41344.51
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,33578.67,33307.27
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35957.99,20682.8
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10653.03,6238.56
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4963.91,3799.56
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,896722.95,495913.57
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,896722.95,495913.57
2024 HON. SARA JACOBS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,39708.39,17826.06
2024 HON. SARA JACOBS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,39708.39,17826.06
2024 HON. SARA JACOBS,INTERN ALLOWANCES,OFFICE TOTALS:,39708.39,17826.06
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,23547.14,23568.84
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,545613.01,275120.94
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34083.7,18685.38
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,234556.81,227544.86
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,54577.6,44181.1
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,22089.04,14515.04
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12701.78,7575.2
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5307.45,1818.32
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,932476.53,613009.68
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,932476.53,613009.68
2024 HON. JOHN JAMES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,23700.01,11616.67
2024 HON. JOHN JAMES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,23700.01,11616.67
2024 HON. JOHN JAMES,INTERN ALLOWANCES,OFFICE TOTALS:,23700.01,11616.67
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,657,401.01
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,735683.41,376924.06
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,50038.13,36884.26
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,33904.9,17185.16
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,24842.34,24653.34
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12630,6390
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12272.21,8845.31
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3764.65,1459
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,873792.64,472742.14
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,873792.64,472742.14
2024 HON. PRAMILA JAYAPAL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14820,8418
2024 HON. PRAMILA JAYAPAL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14820,8418
2024 HON. PRAMILA JAYAPAL,INTERN ALLOWANCES,OFFICE TOTALS:,14820,8418
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,829.42,553.67
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,410566.34,208060.71
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12205.33,6983.38
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,168093.22,105719.59
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,23494.35,11817.62
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28561.53,16320
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15726.2,7089.86
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1604,867
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,661080.39,357411.83
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,661080.39,357411.83
2024 HON. HAKEEM S. JEFFRIES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,19966.31,10131.11
2024 HON. HAKEEM S. JEFFRIES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,19966.31,10131.11
2024 HON. HAKEEM S. JEFFRIES,INTERN ALLOWANCES,OFFICE TOTALS:,19966.31,10131.11
2024 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,82.59,91.65
2024 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,469192.23,154586.11
2024 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4494.95,192.01
2024 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,41233.18,23689.19
2024 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,15,15
2024 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27622.04,12021.23
2024 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2418.88,555.67
2024 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,685,274
2024 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,545743.87,191424.86
2024 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,545743.87,191424.86
2024 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,54035.1,16051.76
2024 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,633352.71,313447
2024 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,33748.69,25973.62
2024 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,53918,26330.75
2024 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,72319.56,24388.91
2024 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5279.88,2639.94
2024 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16968.59,6256.72
2024 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2256.25,2256.25
2024 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,871878.78,417344.95
2024 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,871878.78,417344.95
2024 HON. DUSTY JOHNSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,30607.51,20367.5
2024 HON. DUSTY JOHNSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,30607.51,20367.5
2024 HON. DUSTY JOHNSON,INTERN ALLOWANCES,OFFICE TOTALS:,30607.51,20367.5
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-115.53,-63.11
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,641385.63,349645.1
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23059.42,16560.43
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,39757.85,29452.04
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,10937.47,3322.96
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5254.95,3253.96
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,20236.03,12174.94
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5680.02,2129.64
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,746195.84,416475.96
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,746195.84,416475.96
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",INTERN ALLOWANCES,PERSONNEL COMPENSATION,27392.45,17616.67
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,27392.45,17616.67
"2024 HON. HENRY C. ""HANK"" JOHNSON  JR.",INTERN ALLOWANCES,OFFICE TOTALS:,27392.45,17616.67
2024 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,11170.68,10974.07
2024 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,569717.44,286022.21
2024 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,50597.12,32307.34
2024 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14027.89,7883.25
2024 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,23829.28,21302.2
2024 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4693.11,4406.91
2024 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12443.41,8838.44
2024 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10989,10215
2024 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,697467.93,381949.42
2024 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,697467.93,381949.42
2024 HON. MIKE JOHNSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9385,9385
2024 HON. MIKE JOHNSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,9385,9385
2024 HON. MIKE JOHNSON,INTERN ALLOWANCES,OFFICE TOTALS:,9385,9385
2024 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,739.68,497.43
2024 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,646321.8,335803.43
2024 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12849.64,9592.7
2024 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,7849.4,5660.42
2024 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,645.99,625.99
2024 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,332.85,286.25
2024 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3758.91,1911.16
2024 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,782.16,391.08
2024 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,673280.43,354768.46
2024 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,673280.43,354768.46
2024 HON. JIM JORDAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17950,8340
2024 HON. JIM JORDAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17950,8340
2024 HON. JIM JORDAN,INTERN ALLOWANCES,OFFICE TOTALS:,17950,8340
2024 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,32567.82,22795.23
2024 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,594679.28,310200.46
2024 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,20371.66,16036.59
2024 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24959.26,14320.05
2024 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,9809.3,297.8
2024 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9244.03,4600.93
2024 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9662.81,2077.85
2024 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1440,720
2024 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,702734.16,371048.91
2024 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,702734.16,371048.91
2024 HON. DAVID P. JOYCE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13161.1,6487.77
2024 HON. DAVID P. JOYCE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,13161.1,6487.77
